WKT;fid;ID;TIER;HEIGHT
POLYGON ((351284.41116172 6178404.83280307,351242.996538068 6178411.63221889,351245.397349079 6178425.26400543,351286.883676565 6178418.12257036,351284.41116172 6178404.83280307));1;"Edif1";1;7.0
POLYGON ((351344.060582353 6178365.27256555,351355.726817038 6178364.19851112,351353.07785158 6178341.11466928,351378.810658883 6178337.80346245,351376.823934789 6178321.72045789,351368.214797052 6178322.66651698,351367.647161597 6178318.97688652,351376.512339693 6178317.67665478,351375.499452061 6178310.93538424,351351.564157033 6178313.86816743,351353.023448666 6178324.47607061,351338.8869652 6178325.88311789,351344.060582353 6178365.27256555));2;"Edif2";1;4.0
POLYGON ((351278.474506585 6178464.90657228,351280.100226992 6178475.78639346,351293.293573369 6178473.7229791,351291.828706255 6178462.93690192,351278.474506585 6178464.90657228));3;"Edif3";1;5.0
POLYGON ((351277.611745897 6178426.77637231,351278.724617417 6178435.45602183,351289.541910892 6178433.83030142,351288.119933987 6178425.23105054,351277.611745897 6178426.77637231));4;"Edif4";1;7.0
