WKT;id
"POLYGON ((351773.300207021 6175601.16292779,351763.262287016 6175729.94374972,351845.000401179 6175736.24253121,351855.150846015 6175607.49000553,351773.300207021 6175601.16292779))";"1"
"POLYGON ((351852.482837104 6175649.054328,351849.504844992 6175678.42596689,351867.746899272 6175679.97998072,351870.253032128 6175650.43576603,351852.482837104 6175649.054328))";"2"
"POLYGON ((351873.420120961 6175608.39536494,351864.097071662 6175720.49185135,351952.165809672 6175727.63812969,351961.296871546 6175615.69270673,351873.420120961 6175608.39536494))";"3"
