pollutid;id;tipo;wkt;z;q;h
ETHYLMERCAPTANO;DESC1;AREAPOLY;POLYGON ((350441 6177621,350477 6177659,350464 6177673,350508 6177734,350538 6177755,350588 6177765,350611 6177750,350645 6177734,350678 6177689,350686 6177628,350683 6177600,350672 6177578,350656 6177586,350638 6177645,350626 6177612,350594 6177571,350546 6177583,350441 6177621.2334722));30.0;4.62E-04;0
ETHYLMERCAPTANO;DESC2;AREAPOLY;POLYGON ((350769 6177428,350769 6177434,350784 6177471,350796 6177501,350803 6177508,350821 6177510,350831 6177505,350837 6177507,350851 6177494,350863 6177473,350865 6177448,350879 6177428,350883 6177416,350872 6177389,350850 6177381,350842 6177373,350832 6177373,350825 6177375,350821 6177373,350811 6177380,350804 6177398,350800 6177412,350769 6177428.29802603));30.0;4.62E-04;0
