wkt;id
"POINT (349379.375 6178166.5)"
"POINT (349429.375 6177766.5)"
"POINT (349429.375 6177816.5)"
"POINT (349429.375 6177866.5)"
"POINT (349429.375 6177916.5)"
"POINT (349429.375 6177966.5)"
"POINT (349429.375 6178016.5)"
"POINT (349429.375 6178066.5)"
"POINT (349429.375 6178116.5)"
"POINT (349429.375 6178166.5)"
"POINT (349429.375 6178216.5)"
"POINT (349429.375 6178266.5)"
"POINT (349429.375 6178316.5)"
"POINT (349429.375 6178366.5)"
"POINT (349429.375 6178416.5)"
"POINT (349429.375 6178466.5)"
"POINT (349429.375 6178516.5)"
"POINT (349429.375 6178566.5)"
"POINT (349479.375 6177566.5)"
"POINT (349479.375 6177616.5)"
"POINT (349479.375 6177666.5)"
"POINT (349479.375 6177716.5)"
"POINT (349479.375 6177766.5)"
"POINT (349479.375 6177816.5)"
"POINT (349479.375 6177866.5)"
"POINT (349479.375 6177916.5)"
"POINT (349479.375 6177966.5)"
"POINT (349479.375 6178016.5)"
"POINT (349479.375 6178066.5)"
"POINT (349479.375 6178116.5)"
"POINT (349479.375 6178166.5)"
"POINT (349479.375 6178216.5)"
"POINT (349479.375 6178266.5)"
"POINT (349479.375 6178316.5)"
"POINT (349479.375 6178366.5)"
"POINT (349479.375 6178416.5)"
"POINT (349479.375 6178466.5)"
"POINT (349479.375 6178516.5)"
"POINT (349479.375 6178566.5)"
"POINT (349479.375 6178616.5)"
"POINT (349479.375 6178666.5)"
"POINT (349479.375 6178716.5)"
"POINT (349479.375 6178766.5)"
"POINT (349529.375 6177416.5)"
"POINT (349529.375 6177466.5)"
"POINT (349529.375 6177516.5)"
"POINT (349529.375 6177566.5)"
"POINT (349529.375 6177616.5)"
"POINT (349529.375 6177666.5)"
"POINT (349529.375 6177716.5)"
"POINT (349529.375 6177766.5)"
"POINT (349529.375 6177816.5)"
"POINT (349529.375 6177866.5)"
"POINT (349529.375 6177916.5)"
"POINT (349529.375 6177966.5)"
"POINT (349529.375 6178016.5)"
